D, [2017-07-23T22:01:09.170075 #7320] DEBUG -- : MONGODB | Topology type 'unknown' initializing.
D, [2017-07-23T22:01:09.170575 #7320] DEBUG -- : MONGODB | Server 127.0.0.1:27017 initializing.
D, [2017-07-23T22:01:09.185077 #7320] DEBUG -- : MONGODB | Topology type 'unknown' changed to type 'single'.
D, [2017-07-23T22:01:09.185577 #7320] DEBUG -- : MONGODB | Server description for 127.0.0.1:27017 changed from 'unknown' to 'standalone'.
D, [2017-07-23T22:01:09.185577 #7320] DEBUG -- : MONGODB | There was a change in the members of the 'single' topology.
D, [2017-07-23T22:01:13.107049 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"leagues"}
D, [2017-07-23T22:01:13.140071 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.032032s
D, [2017-07-23T22:01:13.142071 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"leagues", "documents"=>[{"id"=>"Standard", "description"=>"The default game mode.", "registerAt"=>nil, "event"=>false, "url"=>"http://pathofexile.com/forum/view-thread/71278", "startAt"=>"2013-01-23T21:00:00Z", "endAt"=>nil, "rules"=>[], :...
D, [2017-07-23T22:01:13.163707 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.021636s
D, [2017-07-23T22:01:13.164708 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"leagues", "query"=>{}}
D, [2017-07-23T22:01:13.175747 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011039s
D, [2017-07-23T22:01:13.176737 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.find | STARTED | {"find"=>"leagues", "filter"=>{}}
D, [2017-07-23T22:01:13.188739 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.find | SUCCEEDED | 0.012502000000000001s
D, [2017-07-23T22:01:13.188739 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (Standard)"}
D, [2017-07-23T22:01:13.210242 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.021003s
D, [2017-07-23T22:01:17.131648 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (Standard)", "documents"=>[{"equipment"=>{"items"=>[{"verified"=>false, "w"=>2, "h"=>2, "ilvl"=>68, "icon"=>"https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/RatsNest.png?scale=1&w=2&h=2&v=a20e8fdbbf1dc39051fe8a0458cab81...
D, [2017-07-23T22:01:17.143128 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.01148s
D, [2017-07-23T22:01:17.144129 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (Standard)", "query"=>{}}
D, [2017-07-23T22:01:17.155630 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011002s
D, [2017-07-23T22:01:17.156130 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (Hardcore)"}
D, [2017-07-23T22:01:17.177632 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.021502s
D, [2017-07-23T22:01:21.573755 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (Hardcore)", "documents"=>[{"equipment"=>{"items"=>[{"verified"=>false, "w"=>2, "h"=>1, "ilvl"=>72, "icon"=>"https://web.poecdn.com/image/Art/2DItems/Belts/Belt3.png?scale=1&w=2&h=1&v=a559821037f54c94dae053b90bcea3633", "league"...
D, [2017-07-23T22:01:21.596761 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.023006s
D, [2017-07-23T22:01:21.599261 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (Hardcore)", "query"=>{}}
D, [2017-07-23T22:01:21.600261 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.0005s
D, [2017-07-23T22:01:21.601259 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (SSF Standard)"}
D, [2017-07-23T22:01:21.612261 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.011002s
D, [2017-07-23T22:01:25.078983 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (SSF Standard)", "documents"=>[{"equipment"=>{"items"=>[{"verified"=>false, "w"=>1, "h"=>2, "ilvl"=>43, "icon"=>"https://web.poecdn.com/gen/image/YTo2OntzOjEyOiJlcXVp/cHBlZE9ubHkiO2I6MTtz/Ojk6ImFjY291bnRJZCI7/TzoxODoiR3JpbmRiXER...
D, [2017-07-23T22:01:25.097082 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.018099s
D, [2017-07-23T22:01:25.098064 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (SSF Standard)", "query"=>{}}
D, [2017-07-23T22:01:25.109082 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011018s
D, [2017-07-23T22:01:25.109580 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (SSF Hardcore)"}
D, [2017-07-23T22:01:25.120099 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.010519s
D, [2017-07-23T22:01:30.374568 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (SSF Hardcore)", "documents"=>[{"equipment"=>{"items"=>[{"verified"=>false, "w"=>1, "h"=>3, "ilvl"=>59, "icon"=>"https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand3.png?scale=1&w=1&h=3&v=ac9f7eee09f5a8f58...
D, [2017-07-23T22:01:30.386578 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.01251s
D, [2017-07-23T22:01:30.387569 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (SSF Hardcore)", "query"=>{}}
D, [2017-07-23T22:01:30.398602 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011033s
